Team,Home loses,Away loses,Total loses,Team ID
Denver Nuggets,7,22,29,139
Memphis Grizzlies,6,25,31,146
Sacramento Kings,18,16,34,157
Phoenix Suns,13,24,37,155
Golden State Warriors,8,30,38,141
Los Angeles Clippers,18,20,38,144
New Orleans Pelicans,14,26,40,150
Los Angeles Lakers,18,21,39,145
Minnesota Timberwolves,19,21,40,149
Oklahoma City Thunder,17,25,42,152
Dallas Mavericks,18,26,44,138
Utah Jazz,18,27,45,160
Portland Trail Blazers,24,25,49,156
Houston Rockets,27,33,60,142
San Antonio Spurs,27,33,60,158
Milwaukee Bucks,9,15,24,148
Boston Celtics,9,16,25,133
Philadelphia 76ers,12,16,28,154
Cleveland Cavaliers,10,21,31,137
New York Knicks,18,17,35,151
Brooklyn Nets,18,19,37,134
Miami Heat,14,24,38,147
Atlanta Hawks,17,24,41,132
Toronto Raptors,14,27,41,159
Chicago Bulls,19,23,42,136
Washington Wizards,22,25,47,161
Orlando Magic,21,27,48,153
Indiana Pacers,21,26,47,143
Charlotte Hornets,28,27,55,135
Detroit Pistons,32,33,65,140
