Team,Home wins,Away wins,Total wins,Team ID
Denver Nuggets,34,19,53,139
Memphis Grizzlies,35,16,51,146
Sacramento Kings,23,25,48,157
Phoenix Suns,28,17,45,155
Golden State Warriors,33,11,44,141
Los Angeles Clippers,23,21,44,144
New Orleans Pelicans,27,15,42,150
Los Angeles Lakers,23,20,43,145
Minnesota Timberwolves,22,20,42,149
Oklahoma City Thunder,24,16,40,152
Dallas Mavericks,23,15,38,138
Utah Jazz,23,14,37,160
Portland Trail Blazers,17,16,33,156
Houston Rockets,14,8,22,142
San Antonio Spurs,14,8,22,158
Milwaukee Bucks,32,26,58,148
Boston Celtics,32,25,57,133
Philadelphia 76ers,29,25,54,154
Cleveland Cavaliers,31,20,51,137
New York Knicks,23,24,47,151
Brooklyn Nets,23,22,45,134
Miami Heat,27,17,44,147
Atlanta Hawks,24,17,41,132
Toronto Raptors,27,14,41,159
Chicago Bulls,22,18,40,136
Washington Wizards,19,16,35,161
Orlando Magic,20,14,34,153
Indiana Pacers,20,15,35,143
Charlotte Hornets,13,14,27,135
Detroit Pistons,9,8,17,140
