Team,Team ID,Conference,Conference Position,Overall Position
Atlanta Hawks,132,Eastern Conference,8,17
Boston Celtics,133,Eastern Conference,2,2
Brooklyn Nets,134,Eastern Conference,6,9
Charlotte Hornets,135,Eastern Conference,14,27
Chicago Bulls,136,Eastern Conference,10,19
Cleveland Cavaliers,137,Eastern Conference,4,5
Dallas Mavericks,138,Western Conference,11,21
Denver Nuggets,139,Western Conference,1,4
Detroit Pistons,140,Eastern Conference,15,30
Golden State Warriors,141,Western Conference,5,11
Houston Rockets,142,Western Conference,14,28
Indiana Pacers,143,Eastern Conference,13,23
Los Angeles Clippers,144,Western Conference,6,12
Los Angeles Lakers,145,Western Conference,8,14
Memphis Grizzlies,146,Western Conference,2,6
Miami Heat,147,Eastern Conference,7,13
Milwaukee Bucks,148,Eastern Conference,1,1
Minnesota Timberwolves,149,Western Conference,9,15
New Orleans Pelicans,150,Western Conference,7,16
New York Knicks,151,Eastern Conference,5,8
Oklahoma City Thunder,152,Western Conference,10,20
Orlando Magic,153,Eastern Conference,12,25
Philadelphia 76ers,154,Eastern Conference,3,3
Phoenix Suns,155,Western Conference,4,10
Portland Trail Blazers,156,Western Conference,13,26
Sacramento Kings,157,Western Conference,3,7
San Antonio Spurs,158,Western Conference,15,29
Toronto Raptors,159,Eastern Conference,9,18
Utah Jazz,160,Western Conference,12,22
Washington Wizards,161,Eastern Conference,11,24
